iter	Passed	Remaining
408	4429	6401
409	4439	6388
410	4448	6374
411	4458	6363
412	4467	6349
413	4477	6337
414	4486	6325
415	4496	6311
416	4505	6298
417	4513	6285
418	4523	6272
419	4532	6259
420	4542	6247
421	4555	6239
422	4563	6225
423	4573	6212
424	4582	6199
425	4591	6187
426	4601	6174
427	4611	6163
428	4628	6159
429	4645	6158
430	4661	6154
431	4676	6148
432	4689	6141
433	4701	6131
434	4712	6120
435	4725	6112
436	4737	6103
437	4748	6093
438	4770	6095
439	4782	6086
440	4794	6077
441	4812	6075
442	4832	6075
443	4851	6075
444	4870	6073
445	4886	6069
446	4897	6058
447	4910	6050
448	4923	6041
449	4937	6034
450	4949	6025
451	4961	6015
452	4974	6007
453	4988	5999
454	5000	5989
455	5011	5978
456	5025	5970
457	5038	5963
458	5050	5953
459	5060	5941
460	5074	5933
461	5086	5923
462	5097	5912
463	5108	5901
464	5119	5890
465	5132	5881
466	5143	5870
467	5154	5859
468	5166	5849
469	5176	5837
470	5197	5837
471	5209	5827
472	5221	5817
473	5236	5810
474	5248	5801
475	5258	5788
476	5271	5779
477	5284	5770
478	5296	5761
479	5308	5750
480	5321	5742
481	5335	5733
482	5347	5724
483	5358	5712
484	5374	5706
485	5387	5697
486	5400	5688
487	5413	5679
488	5425	5669
489	5438	5660
490	5450	5650
491	5464	5641
492	5477	5632
493	5488	5622
494	5501	5612
495	5515	5604
496	5528	5594
497	5540	5585
498	5551	5574
499	5564	5564
500	5576	5553
501	5587	5542
502	5598	5531
503	5610	5521
504	5624	5513
505	5635	5502
506	5647	5491
507	5660	5481
508	5672	5472
509	5685	5462
510	5697	5452
511	5709	5442
512	5723	5433
513	5738	5426
514	5750	5415
515	5765	5408
516	5780	5400
517	5795	5392
518	5810	5384
519	5825	5377
520	5839	5369
521	5853	5360
522	5865	5349
523	5878	5340
524	5892	5331
525	5905	5321
526	5917	5311
527	5930	5301
528	5943	5292
529	5956	5282
530	5970	5273
531	5982	5262
532	5996	5253
533	6009	5244
534	6024	5236
535	6037	5226
536	6049	5216
537	6061	5205
538	6075	5196
539	6089	5187
540	6103	5178
541	6115	5167
542	6127	5157
543	6141	5147
544	6154	5137
545	6167	5128
546	6179	5117
547	6191	5107
548	6204	5097
549	6217	5087
550	6228	5075
551	6241	5065
552	6256	5057
553	6270	5047
554	6283	5038
555	6295	5027
556	6308	5017
